Id,Requirement
145,ClO
149,ClONO2
205,Cloud base height
258,Cloud base height
342,Cloud base height
726,Cloud base height
749,Cloud base height
81,Cloud cover
206,Cloud cover
259,Cloud cover
343,Cloud cover
430,Cloud cover
493,Cloud cover
703,Cloud cover
727,Cloud cover
791,Cloud cover
16,Cloud drop effective radius
260,Cloud drop effective radius
344,Cloud drop effective radius
795,Cloud drop effective radius
17,Cloud ice
207,Cloud ice
208,Cloud ice
209,Cloud ice
210,Cloud ice
261,Cloud ice
262,Cloud ice
345,Cloud ice
346,Cloud ice
728,Cloud ice effective radius
82,Cloud ice Total Column
211,Cloud ice Total Column
263,Cloud ice Total Column
347,Cloud ice Total Column
20,Cloud liquid water (CLW)
212,Cloud liquid water (CLW)
213,Cloud liquid water (CLW)
264,Cloud liquid water (CLW)
265,Cloud liquid water (CLW)
348,Cloud liquid water (CLW)
349,Cloud liquid water (CLW)
794,Cloud liquid water (CLW)
84,Cloud liquid water (CLW) total column
214,Cloud liquid water (CLW) total column
266,Cloud liquid water (CLW) total column
350,Cloud liquid water (CLW) total column
3,Cloud optical depth
793,Cloud optical depth
748,Cloud to Ground lightning density
855,Cloud to Ground lightning density
4,Cloud top height
85,Cloud top height
270,Cloud top height
354,Cloud top height
431,Cloud top height
86,Cloud top temperature
218,Cloud top temperature
432,Cloud top temperature
792,Cloud top temperature
152,Cloud type
271,Cloud type
355,Cloud type
433,Cloud type
729,Cloud type
153,CO mole fraction
815,CO mole fraction
890,CO mole fraction
891,CO mole fraction
892,CO mole fraction
919,CO mole fraction (near surface)
920,CO mole fraction (near surface)
921,CO mole fraction (near surface)
806,CO Tropospheric column
888,CO Tropospheric column
889,CO Tropospheric column
878,CO2 column average dry air mixing ratio
875,CO2 column average dry air mixing ratio
876,CO2 column average dry air mixing ratio
877,CO2 column average dry air mixing ratio
87,CO2 mole fraction
252,Air specific humidity (near surface)
337,Air specific humidity (near surface)
489,Air specific humidity (near surface)
722,Air specific humidity (near surface)
2,Air temperature (near surface)
33,Air temperature (near surface)
70,Air temperature (near surface)
253,Air temperature (near surface)
338,Air temperature (near surface)
426,Air temperature (near surface)
490,Air temperature (near surface)
723,Air temperature (near surface)
774,Air temperature (near surface)
710,Atmospheric density
711,Atmospheric density
15,Atmospheric temperature
34,Atmospheric temperature
71,Atmospheric temperature
72,Atmospheric temperature
73,Atmospheric temperature
74,Atmospheric temperature
226,Atmospheric temperature
227,Atmospheric temperature
254,Atmospheric temperature
255,Atmospheric temperature
256,Atmospheric temperature
257,Atmospheric temperature
339,Atmospheric temperature
340,Atmospheric temperature
341,Atmospheric temperature
427,Atmospheric temperature
428,Atmospheric temperature
620,Atmospheric temperature
621,Atmospheric temperature
622,Atmospheric temperature
623,Atmospheric temperature
714,Atmospheric temperature
715,Atmospheric temperature
778,Atmospheric temperature
779,Atmospheric temperature
780,Atmospheric temperature
681,Background Luminance (surface)
491,Bathymetry
661,Biomass
831,Biomass
128,BrO
862,C2H2
935,C2H2
132,CFC-11
136,CFC-12
765,Wind vector (near surface)
936,(13)CH4 delta
937,(13)CH4 delta
31,Accumulated precipitation (over 24 h)
54,Accumulated precipitation (over 24 h)
204,Accumulated precipitation (over 24 h)
244,Accumulated precipitation (over 24 h)
334,Accumulated precipitation (over 24 h)
766,Accumulated precipitation (over 24 h)
684,Aerosol Absorption Optical Depth
245,Aerosol column burden
425,Aerosol column burden
705,Aerosol column burden
761,Aerosol column burden
915,Aerosol column burden
688,Aerosol dust concentration
55,Aerosol Extinction Coefficient
934,Aerosol Extinction Coefficient
735,Aerosol Extinction Coefficient
810,Aerosol Extinction Coefficient
809,Aerosol Layer Height
124,Aerosol mass mixing ratio
125,Aerosol mass mixing ratio
127,Aerosol mass mixing ratio
223,Aerosol mass mixing ratio
246,Aerosol mass mixing ratio
247,Aerosol mass mixing ratio
248,Aerosol mass mixing ratio
249,Aerosol mass mixing ratio
616,Aerosol mass mixing ratio
617,Aerosol mass mixing ratio
618,Aerosol mass mixing ratio
619,Aerosol mass mixing ratio
63,Aerosol Optical Depth
66,Aerosol Optical Depth
807,Aerosol Optical Depth
808,Aerosol single-scattering albedo
717,Aerosol volcanic ash
718,Aerosol volcanic ash  Total Column
67,Air pressure (near surface)
68,Air pressure (near surface)
250,Air pressure (near surface)
251,Air pressure (near surface)
335,Air pressure (near surface)
487,Air pressure (near surface)
488,Air pressure (near surface)
721,Air pressure (near surface)
775,Air pressure (near surface)
1,Air specific humidity (near surface)
32,Air specific humidity (near surface)
69,Air specific humidity (near surface)
634,Wind (horizontal)
635,Wind (horizontal)
636,Wind (horizontal)
637,Wind (horizontal)
712,Wind (horizontal)
713,Wind (horizontal)
781,Wind (horizontal)
314,Wind (vertical)
315,Wind (vertical)
316,Wind (vertical)
317,Wind (vertical)
386,Wind (vertical)
387,Wind (vertical)
388,Wind (vertical)
454,Wind (vertical)
733,Wind (vertical)
30,Wind gust
698,Wind gust
763,Wind gust
52,Wind speed (near surface)
318,Wind speed (near surface)
319,Wind speed (near surface)
389,Wind speed (near surface)
390,Wind speed (near surface)
455,Wind speed (near surface)
456,Wind speed (near surface)
563,Wind speed (near surface)
764,Wind speed (near surface)
768,Wind speed (near surface)
543,Wind stress
544,Wind stress
844,Wind stress
14,Wind vector (near surface)
53,Wind vector (near surface)
123,Wind vector (near surface)
203,Wind vector (near surface)
243,Wind vector (near surface)
320,Wind vector (near surface)
321,Wind vector (near surface)
391,Wind vector (near surface)
392,Wind vector (near surface)
457,Wind vector (near surface)
458,Wind vector (near surface)
545,Wind vector (near surface)
546,Wind vector (near surface)
547,Wind vector (near surface)
548,Wind vector (near surface)
549,Wind vector (near surface)
564,Wind vector (near surface)
734,Wind vector (near surface)
117,Upward long-wave irradiance at TOA
307,Upward long-wave irradiance at TOA
382,Upward long-wave irradiance at TOA
409,Upward long-wave irradiance at TOA
633,Upward long-wave irradiance at TOA
784,Upward long-wave irradiance at TOA
116,Upward short-wave irradiance at TOA
305,Upward short-wave irradiance at TOA
381,Upward short-wave irradiance at TOA
